20:10:24,413 INFO  [org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@5ccd43c2: startup date [Wed Nov 02 20:10:24 CST 2016]; root of context hierarchy
20:10:24,585 INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from URL [file:/Users/duanxiangchao/git/jueshi/src/main/resources/spring/dubbo-provider.xml]
20:10:27,463 INFO  [com.alibaba.dubbo.common.logger.LoggerFactory] using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
20:10:27,600 INFO  [org.springframework.beans.factory.support.DefaultListableBeanFactory] Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@50c87b21: defining beans [helloworld-app,com.alibaba.dubbo.config.RegistryConfig,dubbo,helloProvider,_2016.com.dubbo.testHello.IHello]; root of factory hierarchy
20:10:28,062 INFO  [com.alibaba.dubbo.config.AbstractConfig]  [DUBBO] The service ready on spring started. service: _2016.com.dubbo.testHello.IHello, dubbo version: 2.5.3, current host: 127.0.0.1
20:10:28,252 INFO  [com.alibaba.dubbo.config.AbstractConfig]  [DUBBO] Export dubbo service _2016.com.dubbo.testHello.IHello to local registry, dubbo version: 2.5.3, current host: 127.0.0.1
20:10:28,252 INFO  [com.alibaba.dubbo.config.AbstractConfig]  [DUBBO] Export dubbo service _2016.com.dubbo.testHello.IHello to url dubbo://172.16.10.94:20880/_2016.com.dubbo.testHello.IHello?anyhost=true&application=helloworld-app&dubbo=2.5.3&interface=_2016.com.dubbo.testHello.IHello&methods=sayHello&pid=3191&side=provider&timestamp=1478088628096, dubbo version: 2.5.3, current host: 127.0.0.1
20:10:28,252 INFO  [com.alibaba.dubbo.config.AbstractConfig]  [DUBBO] Register dubbo service _2016.com.dubbo.testHello.IHello url dubbo://172.16.10.94:20880/_2016.com.dubbo.testHello.IHello?anyhost=true&application=helloworld-app&dubbo=2.5.3&interface=_2016.com.dubbo.testHello.IHello&methods=sayHello&pid=3191&side=provider&timestamp=1478088628096 to registry registry://224.5.6.7:1234/com.alibaba.dubbo.registry.RegistryService?application=helloworld-app&dubbo=2.5.3&pid=3191&registry=multicast&timestamp=1478088628074, dubbo version: 2.5.3, current host: 127.0.0.1
20:10:28,465 INFO  [com.alibaba.dubbo.remoting.transport.AbstractServer]  [DUBBO] Start NettyServer bind /0.0.0.0:20880, export /172.16.10.94:20880, dubbo version: 2.5.3, current host: 127.0.0.1
20:10:28,481 INFO  [com.alibaba.dubbo.config.AbstractConfig]  [DUBBO] Run shutdown hook now., dubbo version: 2.5.3, current host: 127.0.0.1
20:10:28,481 INFO  [com.alibaba.dubbo.registry.support.AbstractRegistryFactory]  [DUBBO] Close all registries [], dubbo version: 2.5.3, current host: 127.0.0.1
20:10:28,482 INFO  [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol]  [DUBBO] Close dubbo server: /172.16.10.94:20880, dubbo version: 2.5.3, current host: 127.0.0.1
20:10:28,482 INFO  [com.alibaba.dubbo.remoting.transport.AbstractServer]  [DUBBO] Close NettyServer bind /0.0.0.0:20880, export /172.16.10.94:20880, dubbo version: 2.5.3, current host: 127.0.0.1
20:10:28,487 INFO  [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol]  [DUBBO] Unexport service: dubbo://172.16.10.94:20880/_2016.com.dubbo.testHello.IHello?anyhost=true&application=helloworld-app&dubbo=2.5.3&interface=_2016.com.dubbo.testHello.IHello&methods=sayHello&pid=3191&side=provider&timestamp=1478088628096, dubbo version: 2.5.3, current host: 127.0.0.1
20:10:28,487 INFO  [com.alibaba.dubbo.rpc.protocol.injvm.InjvmProtocol]  [DUBBO] Unexport service: injvm://127.0.0.1/_2016.com.dubbo.testHello.IHello?anyhost=true&application=helloworld-app&dubbo=2.5.3&interface=_2016.com.dubbo.testHello.IHello&methods=sayHello&pid=3191&side=provider&timestamp=1478088628096, dubbo version: 2.5.3, current host: 127.0.0.1
